Frequency	PMI	T-Test	Chi-Square	Likelihood Ratio
('ist', 'aber')	('russian', 'woman')	('körperliche', 'gewalt')	('männerrechte', 'bewahrung')	('bekämpfung', 'gewalt')
('frauen', 'männer')	('landesinnungsverband', 'bäckerhandwerks')	('psychische', 'gewalt')	('klinikärzte', 'gynäkologen')	('anzeige', 'erstatten')
('gewalt', 'nicht')	('interamerikanischen', 'gerichtshofs')	('werden', 'kann')	('eingehenden', 'verfahrenszahlen')	('übereinkommen', 'europarats')
('ihrem', 'partner')	('derzeitigem', 'ermittlungsstand')	('verhütung', 'bekämpfung')	('british', 'empire')	('aber', 'nicht')
('frauen', 'sind')	('buzz', 'feed')	('hilfe', 'holen')	('kanarischen', 'inseln')	('ihren', 'kindern')
('schutz', 'frauen')	('bundestrainer', 'kapitän')	('gewalt', 'geworden')	('fass', 'überlaufen')	('weißer', 'ring')
('betroffenen', 'frauen')	('berufsverband', 'jugendärzte')	('vergleich', 'vorjahr')	('vereinten', 'nationen')	('sozialen', 'medien')
('werden', 'kann')	('pornografischer', 'schriften')	('frauen', 'männer')	('visa', 'vie')	('ihrem', 'leben')
('gewalt', 'sind')	('verberge', 'erhebliches')	('jahre', 'alt')	('sozialdirektorinnen', 'sozialdirektoren')	('deutsche', 'fassung')
('aber', 'ist')	('vorgeburtliche', 'geschlechtsselektion')	('geworden', 'sind')	('frauentreffs', 'jupiterstraße')	('helfen', 'frauen')
('ist', 'wichtig')	('gesichertes', 'gesamtbild')	('verein', 'frauen')	('stockwerk', 'hochhauses')	('runden', 'tisch')
('ihrem', 'leben')	('öffentlichkeitswirksam', 'tänzen')	('ihrem', 'mann')	('muthesius', 'kunsthochschule')	('bestimmt', 'kontakte')
('thema', 'häusliche')	('stockwerk', 'hochhauses')	('psychischer', 'gewalt')	('bundestrainerin', 'bundestrainer')	('sexuelle', 'gewalt')
('frauen', 'ihren')	('oranger', 'button')	('aufmerksam', 'machen')	('datengetriebene', 'investigative')	('folgenden', 'informationen')
('gewalt', 'geworden')	('muthesius', 'kunsthochschule')	('frauen', 'kindern')	('blöde', 'kuh')	('thema', 'häusliche')
