Frequency	PMI	T-Test	Chi-Square	Likelihood Ratio
('zahl', 'fälle', 'häuslicher', 'gewalt')	('argumentation', 'sorgt', 'gerichtsprozessen', 'strafmilderungen')	('zahl', 'fälle', 'häuslicher', 'gewalt')	('bundestrainerin', 'bundestrainer', 'kapitän', 'neuer')	('frauen', 'opfer', 'häuslicher', 'gewalt')
('häuslicher', 'gewalt', 'geworden', 'sind')	('erfahrenen', 'psychotherapeuten', 'fachärzten', 'psychosomatische')	('häuslicher', 'gewalt', 'geworden', 'sind')	('depressiven', 'verstimmungen', 'seelischen', 'nöten')	('opfer', 'häuslicher', 'gewalt', 'wurden')
('opfer', 'häuslicher', 'gewalt', 'sind')	('halbautomatisches', 'gewehr', 'pistolen', 'gewehr')	('veröffentlichung', 'bestimmt', 'kontakte', 'autorin')	('argumentation', 'sorgt', 'gerichtsprozessen', 'strafmilderungen')	('opfer', 'häuslicher', 'gewalt', 'werden')
('veröffentlichung', 'bestimmt', 'kontakte', 'autorin')	('säkulare', 'ursprung', 'hegemonialen', 'männlichen')	('opfer', 'häuslicher', 'gewalt', 'sind')	('erfahrenen', 'psychotherapeuten', 'fachärzten', 'psychosomatische')	('weibliche', 'opfer', 'häuslicher', 'gewalt')
('opfer', 'häuslicher', 'gewalt', 'wurden')	('bundestrainerin', 'bundestrainer', 'kapitän', 'neuer')	('zahl', 'opfer', 'häuslicher', 'gewalt')	('halbautomatisches', 'gewehr', 'pistolen', 'gewehr')	('opfer', 'häuslicher', 'gewalt', 'sind')
('zahl', 'opfer', 'häuslicher', 'gewalt')	('pressemitteilungen', 'pts', 'jeweiligen', 'aussender')	('opfer', 'häuslicher', 'gewalt', 'wurden')	('säkulare', 'ursprung', 'hegemonialen', 'männlichen')	('opfer', 'häuslicher', 'gewalt', 'ist')
('bestimmt', 'kontakte', 'autor', 'deutsche')	('leichtverletzte', 'ausgemacht', 'verhältnis', 'schwerverletzten')	('veröffentlichung', 'bestimmt', 'kontakte', 'autor')	('netzwerk', 'lokaljournalismus', 'datengetriebene', 'investigative')	('männer', 'opfer', 'häuslicher', 'gewalt')
('kontakte', 'autor', 'deutsche', 'fassung')	('of', 'the', 'british', 'empire')	('kontakte', 'autor', 'deutsche', 'fassung')	('leichtverletzte', 'ausgemacht', 'verhältnis', 'schwerverletzten')	('häufiger', 'opfer', 'häuslicher', 'gewalt')
('veröffentlichung', 'bestimmt', 'kontakte', 'autor')	('netzwerk', 'lokaljournalismus', 'datengetriebene', 'investigative')	('bestimmt', 'kontakte', 'autor', 'deutsche')	('of', 'the', 'british', 'empire')	('menschen', 'opfer', 'häuslicher', 'gewalt')
('prozent', 'opfer', 'häuslicher', 'gewalt')	('psychotherapeuten', 'fachärzten', 'psychosomatische', 'medizin')	('opfer', 'körperlicher', 'sexueller', 'gewalt')	('psychotherapeuten', 'fachärzten', 'psychosomatische', 'medizin')	('opfer', 'häuslicher', 'gewalt', 'prozent')
('verfahren', 'wegen', 'häuslicher', 'gewalt')	('beraubt', 'schlussendlich', 'bedrohe', 'feminismus')	('vereins', 'frauen', 'helfen', 'frauen')	('gemeinnützigen', 'recherchezentrums', 'correctiv', 'spenden')	('opfer', 'häuslicher', 'gewalt', 'partner')
('vereins', 'frauen', 'helfen', 'frauen')	('präsidenten', 'amtierenden', 'finanzminister', 'berat')	('verfahren', 'wegen', 'häuslicher', 'gewalt')	('beraubt', 'schlussendlich', 'bedrohe', 'feminismus')	('opfer', 'häuslicher', 'gewalt', 'geschützt')
('opfer', 'körperlicher', 'sexueller', 'gewalt')	('finanzminister', 'berat', 'albayrak', 'verheiratet')	('polizei', 'wegen', 'häuslicher', 'gewalt')	('sprechstunde', 'räumen', 'frauentreffs', 'jupiterstraße')	('opfer', 'häuslicher', 'gewalt', 'stalking')
('polizei', 'wegen', 'häuslicher', 'gewalt')	('order', 'of', 'the', 'british')	('prozent', 'opfer', 'häuslicher', 'gewalt')	('präsidenten', 'amtierenden', 'finanzminister', 'berat')	('heard', 'opfer', 'häuslicher', 'gewalt')
('fälle', 'häuslicher', 'gewalt', 'registriert')	('fachärzten', 'psychosomatische', 'medizin', 'psychotherapie')	('fälle', 'häuslicher', 'gewalt', 'registriert')	('finanzminister', 'berat', 'albayrak', 'verheiratet')	('opfer', 'häuslicher', 'gewalt', 'bandenkriminalität')
('ist', 'wegen', 'häuslicher', 'gewalt')	('gemeinnützigen', 'recherchezentrums', 'correctiv', 'spenden')	('männer', 'opfer', 'häuslicher', 'gewalt')	('order', 'of', 'the', 'british')	('opfer', 'häuslicher', 'gewalt', 'opfer')
('männer', 'opfer', 'häuslicher', 'gewalt')	('ausgemacht', 'verhältnis', 'schwerverletzten', 'gleichbleibend')	('ist', 'wegen', 'häuslicher', 'gewalt')	('fachärzten', 'psychosomatische', 'medizin', 'psychotherapie')	('opfer', 'häuslicher', 'gewalt', 'können')
('internationalen', 'tages', 'gewalt', 'frauen')	('teilhabe', 'seniorentelefon', 'engagement', 'kompass')	('internationalen', 'tages', 'gewalt', 'frauen')	('ausgemacht', 'verhältnis', 'schwerverletzten', 'gleichbleibend')	('opfer', 'häuslicher', 'gewalt', 'haben')
('anzeige', 'wegen', 'häuslicher', 'gewalt')	('sprechstunde', 'räumen', 'frauentreffs', 'jupiterstraße')	('familie', 'senioren', 'frauen', 'jugend')	('teilhabe', 'seniorentelefon', 'engagement', 'kompass')	('leben', 'opfer', 'häuslicher', 'gewalt')
('familie', 'senioren', 'frauen', 'jugend')	('diskutieren', 'let', 'talk', 'wettbewerb')	('internationalen', 'beseitigung', 'gewalt', 'frauen')	('diskutieren', 'let', 'talk', 'wettbewerb')	('jugendliche', 'opfer', 'häuslicher', 'gewalt')
('internationalen', 'beseitigung', 'gewalt', 'frauen')	('konsequenz', 'wirtschaftspolitik', 'staatspräsidenten', 'recep')	('anzeige', 'wegen', 'häuslicher', 'gewalt')	('konsequenz', 'wirtschaftspolitik', 'staatspräsidenten', 'recep')	('beratungsstellen', 'opfer', 'häuslicher', 'gewalt')
('opfer', 'häuslicher', 'gewalt', 'ist')	('seniorentelefon', 'engagement', 'kompass', 'plattform')	('opfer', 'häuslicher', 'gewalt', 'ist')	('konferenz', 'kantonalen', 'sozialdirektorinnen', 'sozialdirektoren')	('wurden', 'opfer', 'häuslicher', 'gewalt')
('frauen', 'häuslicher', 'gewalt', 'betroffen')	('unbekleideten', 'körperoberflächen', 'hände', 'arme')	('autor', 'deutsche', 'fassung', 'enw')	('bremischen', 'zentralstelle', 'verwirklichung', 'gleichberechtigung')	('opfer', 'häuslicher', 'gewalt', 'täter')
('fälle', 'häuslicher', 'gewalt', 'prozent')	('halbwegs', 'fähigen', 'verteidiger', 'nu')	('frau', 'mindestens', 'ihrem', 'leben')	('seniorentelefon', 'engagement', 'kompass', 'plattform')	('opfer', 'häuslicher', 'gewalt', 'männer')
('frau', 'mindestens', 'ihrem', 'leben')	('grundsatzproblem', 'gleichheit', 'bedeutet', 'privilegien')	('fälle', 'häuslicher', 'gewalt', 'prozent')	('unbekleideten', 'körperoberflächen', 'hände', 'arme')	('interventionsstelle', 'opfer', 'häuslicher', 'gewalt')
('autor', 'deutsche', 'fassung', 'enw')	('sender', 'fox', 'news', 'flugzeug')	('frauen', 'häuslicher', 'gewalt', 'betroffen')	('halbwegs', 'fähigen', 'verteidiger', 'nu')	('anlaufstellen', 'opfer', 'häuslicher', 'gewalt')
('einsätze', 'wegen', 'häuslicher', 'gewalt')	('strafen', 'spielervereinigung', 'atp', 'tennisprofis')	('frauen', 'helfen', 'frauen', 'filder')	('grundsatzproblem', 'gleichheit', 'bedeutet', 'privilegien')	('hilfe', 'opfer', 'häuslicher', 'gewalt')
('hilfetelefon', 'gewalt', 'frauen', 'ist')	('bremischen', 'zentralstelle', 'verwirklichung', 'gleichberechtigung')	('einsätze', 'wegen', 'häuslicher', 'gewalt')	('starteten', 'teams', 'aufruf', 'stoppt')	('nicht', 'opfer', 'häuslicher', 'gewalt')
('männliche', 'opfer', 'häuslicher', 'gewalt')	('beratungsangebote', 'landratsamtes', 'verschiedensten', 'lebensbereiche')	('männliche', 'opfer', 'häuslicher', 'gewalt')	('sender', 'fox', 'news', 'flugzeug')	('opfer', 'häuslicher', 'gewalt', 'hilfe')
('wegen', 'häuslicher', 'gewalt', 'polizei')	('untersuchen', 'rechtsmediziner', 'spermaspuren', 'hautschuppen')	('hilfetelefon', 'gewalt', 'frauen', 'ist')	('strafen', 'spielervereinigung', 'atp', 'tennisprofis')	('opfer', 'häuslicher', 'gewalt', 'waren')
('frauen', 'helfen', 'frauen', 'filder')	('tücken', 'gerichtsfesten', 'medizinischen', 'dokumentation')	('wegen', 'häuslicher', 'gewalt', 'polizei')	('stalkerin', 'elektronische', 'fussfessel', 'elektronisches')	('sollen', 'opfer', 'häuslicher', 'gewalt')
('anlässlich', 'internationalen', 'tages', 'gewalt')	('ausdruck', 'historisch', 'ungleichen', 'machtverhältnisse')	('deutsche', 'fassung', 'redaktion', 'enw')	('beratungsangebote', 'landratsamtes', 'verschiedensten', 'lebensbereiche')	('opfer', 'häuslicher', 'gewalt', 'frauenhaus')
