	0	
18226	" 'Kaya weiter: ""Oft werden auch bedrohte Frauen, die zur Polizei oder Staatsanwaltschaft gehen, nicht ausreichend geschützt."" Regelmäßig berichten die Medien über Frauen, denen zuerst Hilfe versagt wurde und die dann zum Teil brutal von ihren Männern ermordet wurden."	policy advocacy
8020	 'Juli gelingt wenigstens geografisch der Ausbruch aus dem heimatlichen Gefängnis. 2014 lebt sie in Berlin, studiert Mathematik und verdient nebenbei ihr Geld als Profigamerin. Selbsthass und die Unfähigkeit, über ihr traumatisches Aufwachsen zu sprechen, torpedieren ihr Glück mit der faszinierenden Sanyu, treiben Juli Richtung Alkohol und Drogen und schließlich in Thilos Arme.	
15590	 'Laut Wray übermittelte das FBI dem Weißen Haus im März einen vorläufigen Sicherheitsbericht über Porter und dann im Juli einen vollständigen Bericht. Ein weiterer Bericht über Porter sei im November gefolgt, bevor das FBI dann im Januar dessen Überprüfung abgeschlossen habe.	
4226	"['Zu ""Du kannst mich nicht verlassen, du findest doch keine Wohnung"" vom 4. September:"	
20734	 'Wo Gewalt beginnt, müsse jeder selbst definieren, sagte Arno Helfrich vom Polizeireferat Opferschutz und Prävention. Laut Studien sei jede vierte Frau von häuslicher Gewalt betroffen, die Dunkelziffer sei hoch, denn in der Familie werde oft geschwiegen. Auch junge Leute und Lehrer seien von Beleidigungen über die sozialen Medien betroffen. Helfrich riet Eltern, mit ihren Kindern über den Umgang mit sozialen Medien zu reden. Verbotene Inhalte sollten nie verschickt werden, es drohen drastische Konsequenzen auch für Mitwisser, die die Inhalte nicht sofort löschen und sich nicht an die Polizei wenden. „Oft verstehen die Betroffenen die juristische Tragweite gar nicht, weil sie damit nicht umgehen können.“ Die auf Opferschutz spezialisierte Strafverteidigerin Brandes riet, nie allzu private Dinge wie Nacktfotos über soziale Medien preiszugeben: „Das Internet vergisst nichts“, sagte sie. Auch Nicky Alexander Cebulla vom Weißen Ring Bayern-Süd berichtete vom Cybermobbing, das vor allem Schüler und Lehrer betreffe.	statistik, positive quote
8423	 '\nKlicken Sie, um das Bild zu sehen Von Steffi Balzar, Windhoek/Swakopmund/Walvis Bay	reference to picture or link
9773	 'Jahrelang schaffte es Alex nicht, aus den Ketten der häuslichen Gewalt loszubrechen. Er liebte sie und wollte nicht, dass seine „Kinder ihre Gewalt zu spüren bekamen und stand deshalb als Jordans Zielscheibe bereit. Ich hatte Angst sie zu verlassen wegen der Kinder“.	sensationalist language
11937	 'Warum, glauben Sie, war das so?	
6550	 'Johannes-Wilhelm Rörig ist Beauftragter für Fragen des sexuellen Kindesmissbrauchs	announcement
12813	 'Am Mittwoch hatte ein spanisches Gericht die Vollstreckung einer sechsmonatigen Haftstrafe gegen Hernandez angeordnet. Der 25-Jährige war im Dezember 2019 wegen Verstoßes gegen ein Annäherungs- und Kontaktverbot gegenüber seiner früheren Freundin verurteilt worden, mit der er inzwischen nach der Versöhnung verheiratet ist.	episodic frame 
7094	 'mkü/ck']	NA
15720	 'Mehr Sicherheit: Die grösste Gefahr für Frauen lauert nicht im Wald oder in einer Unterführung, sondern zu Hause - in den eigenen vier Wänden. Von den 25 Frauen, die 2016 in unserem Land getötet wurden, sind 18 durch häusliche Gewalt gestorben. Und jeden Tag rückt die Polizei mehrmals aus, weil ein Mann daheim zuschlägt.	statistik 
15971	 'Im ganzen Landkreis Osterholz gab es im letzten Jahr 131 angezeigte Fälle von häuslicher Gewalt, fünf weniger als 2016 und 15 weniger als 2015, weiß Polizist Helge Cassens. Laut einem Bericht des Bundeskriminalamts werden jährlich über 100 000 Frauen Opfer von Partnerschaftsgewalt. Jede vierte Frau ist einmal in ihrem Leben davon betroffen, das bestätigt das Bundesfamilienministerium. Dazu gehören Tritte, Schläge oder unfreiwillige sexuelle Handlungen genauso wie Nötigung, Beleidigung oder Demütigung. Oft ist ein unbedeutender Anlass Auslöser der Gewalt, der nach langjährigen Beziehungsproblemen das Fass zum Überlaufen bringt.	statistik 
17145	 'Die Essensprüfung steht an: Janina und Peter essen Warzenschwein-Hoden	non-DA
22905	" '""Um den Kontakt nicht zu verlieren, haben wir die Männer auch proaktiv angerufen und gefragt, wie es geht"", sagt Schantz. Dabei sei von mehr Stress und einer zugespitzten Situation berichtet worden. Erhöht habe sich die Nachfrage nach Beratung 2020 nicht. Ob sich Betroffene wegen Corona nicht gemeldet haben oder tatsächlich kein größerer Bedarf bestand, werde sich vermutlich erst langfristig zeigen, sagt der Psychologe."	forschung
11304	 'Norderstedt Insbesondere zu Beginn der Corona-Pandemie haben Paare viel Zeit miteinander auf engstem Raum verbracht. Einige plagten Zukunftsängste, andere überforderte die durchgehende Betreuung ihrer Kinder. Konflikte ließen sich kaum vermeiden. Zufluchtsorte fehlten. „Schon für gesunde, harmonische Familien stellte die Situation eine Herausforderung dar“, sagt Britta Lüdeke-Kaufholz, Fachberaterin der Frauenfachberatungsstelle in Norderstedt. Wie befürchtet, stieg in der Corona-Krise die häusliche Gewalt gegenüber Frauen an.	positive quote
14857	 'Maria führt derzeit Gespräche mit ihrem Anwalt. Da der junge Mann im Ausland lebt, dürfte das Verfahren kompliziert werden.	
22601	 'Ein „Familiendrama“ kaschiert schlicht den Mord	sensationalist language
17911	 'Von Shirin Sojitrawalla	
4343	 'Fachleute sind mit diesen Bezeichnungen eher unglücklich – auch wenn, wie häufig, Worte wie „Beziehungsdrama“ oder „Familientragödie“ in Zeitungstexten oder Polizeimeldungen stehen.	positive quote, sensationalist language
14058	 'Riquna Williams ist in der amerikanischen Frauenbasketball-Liga (WNBA) ein Star. Die 29-jährige Aufbauspielerin spielt bei den Los Angeles Sparks, dem Schwesterteam der LA Lakers , und zählt dort zu den Leistungsträgerinnen. Williams gelangen in einem Spiel einmal sagenhafte 51 Punkte, der Rekord hatte lange Bestand, bis er im vergangenen Jahr von der Australierin Liz Cambage übertroffen wurde.	non-DA
6880	 'Auch eine direkte finanzielle Hilfe ist möglich, so finanziert der Weiße Ring unter Umständen auch einen Ferienaufenthalt für Opfer und ihre nächsten Angehörigen. Auch eine Prozessbegleitung wird angeboten.	DA support services
20488	 'TSOKOS: Über 90 Prozent sind im Moment schwere Fälle. Die kommen über die Polizei.	statistik 
1493	 'Die Frauenhäuser hätten Frauen und Mädchen zu ihren Familien zurückschicken müssen, andere Opfer seien von ihren Familienmitgliedern gewaltsam weggebracht worden, heisst es in dem Bericht weiter. Wieder andere seien seither auf der Strasse gelandet. AI habe zudem glaubwürdige Berichte erhalten, Taliban hätten betroffene Frauen in Gefängnisse gebracht.	forschung
2710	 'Dr. Altstötter-Gleich und Jacqueline Waldhauser, Leiterin des Frauenhauses, sprachen OB, Landrätin und Landrat im Namen des Vorstandes, der Mitarbeiterinnen und vor allem der Frauen und Kinder ihren ausdrücklichen Dank aus. Dass die Sanierungsmaßnahme nun realisiert werden könne, stelle eine große Erleichterung für die Bewohnerinnen dar, so Altstötter-Gleich und Waldhauser. Gerade für Frauen mit kleinen Kindern sei die Benutzung der alten Bäder sehr beschwerlich gewesen. So habe es unter anderem bislang keine Wickelkommode gegeben. Im Zuge der Arbeiten wird auch die Warmwasserversorgung von Gasthermen auf eine zentrale, an die Heizung angeschlossene Lösung umgestellt. „Für die Kinder im Haus besteht somit keine Gefahr mehr durch offene Flammen“, betonen Altstötter-Gleich und Waldhauser.	announcement
16096	 'Teilweise ja. Klinikmitarbeiter erzählen uns, dass es an der Tür der Station klingelt, und das Erste, was sie wahrnehmen, wenn sie öffnen, ist ein Faustschlag. Diese Art der Gewalt nimmt rapide zu.	
6394	 'Um es schlicht zu sagen: Sie sind zu Hause eingesperrt …	
11960	 '„Zur umfassenden und erfolgreichen Bekämpfung häuslicher Gewalt müssen sich die Angebote an alle von Gewalt betroffenen beziehungsweise involvierten Zielgruppen richten. Hierzu gehören unter anderem auch Beratungsangebote für Männer, die häusliche Gewalt ausüben sowie für Männer, die Opfer von Gewalt sind“, antwortete das Ministerium auf die Kleine Anfrage des früheren AfD- und mittlerweile fraktionslosen Abgeordneten Rolf Kahnt.	positive quote
20169	 'Wieder das Erschrecken über einen selbst, diese luxuriöse Melancholie. Die Pflegerinnen und Pfleger im Altenheim der Mutter würden bestimmt gerne kalte Füße kriegen und sich mit Konzentrationsschwächen herumschlagen. Sie tragen Mundschutz von morgens bis abends, trösten bei Depression und Demenz, organisieren Balkonkonzerte für die Bewohner, haben Tablets angeschafft. Manchmal sehe ich meine Mutter jetzt im Videochat.	non-DA
7335	 'Vergangene Woche habe man eine Steigerung von 17,5 Prozent im Vergleich zu zwei Wochen zuvor verzeichnet, sagte eine Sprecherin von Familienministerin Franziska Giffey (SPD) der Deutschen Presse-Agentur. Bis dahin sei die Entwicklung der Beratungskontakte vergleichbar zum Vorjahr 2019 verlaufen - also ohne Auffälligkeiten. Ein Trend sei feststellbar. Giffey hatte Anfang der Woche die gestiegene Nachfrage in Zusammenhang mit der Corona-Krise gestellt, Familien stünden auf engem Raum unter besonderem Stress.	statistik 
8937	" '""Million Militia March"""	
9401	 'So ermöglicht beispielsweise das telemedizinische Portal Remed-Online, Bilder einzuschicken, die die Verletzungen durch häusliche Gewalt bei Kindern dokumentieren. Gerade in kleinen Krankenhäusern und in Hausarztpraxen auf dem Land herrscht ein großer Bedarf an rechtsmedizinischer Expertise.	DA support services
2270	['Häusliche Gewalt nimmt seit der Pandemie zu – wie Betroffene im Lockdown auf ihre Situation aufmerksam machen können.	title?
1603	 'Im Gutachten wurde eine Umplatzierung des Kindes gar nicht empfohlen. Wieso entscheidet das Gericht trotzdem so?	title?
6667	 'Frauenhäuser erwarten verstärkten Zulauf	title?
3806	 'Während die Frau die Formalitäten mit den Beamten klärte, sprang Polizist Robert Lofgran kurzerhand als Babysitter ein.	
21848	['\nEuroparats-Generalsekretärin Marija Pej_inovi_ Buri_ hat eindringlich vor einem Anstieg häuslicher Gewalt während der Ausgangsbeschränkungen aufgrund des Coronavirus gewarnt. Berichte aus den Mitgliedsländern der vergangenen Wochen hätten bereits gezeigt, dass Kinder und Frauen nun in den eigenen vier Wänden einem höheren Missbrauchsrisiko ausgesetzt seien, sagte Pej_inovi_ Buri_ der Deutschen Presse-Agentur. Neben dem erhöhten Gewaltrisiko könnten die Auswirkungen der Coronavirus-Krise Frauen auch wirtschaftlich hart treffen und deren finanzielle Unabhängigkeit bedrohen, erklärte Pej_inovi_ Buri_.	positive quote, forschung
4489	 'Die französisch-japanische Bündnis war nach dem Rücktritt und der Verhaftung Ghosns, dem unter anderem angebliche Verstöße gegen Börsenauflagen in Japan vorgeworfen wurden, destabilisiert worden und in eine schwere Krise geraten. Im Juni war zudem ein milliardenschwerer Fusionsversuch von Renault mit dem italienisch-amerikanischen Autobauer Fiat Chrysler geplatzt.']	
20752	 'Sichtbar und sicher?	title?
4707	 'Wie gehen Sie damit um, wenn Sie eine bestimmte Rolle eigentlich gar nicht spielen wollen, weil Sie sie etwa veraltet und sexistisch finden?	
17689	" 'Köln (SID) - Die ATP hat in der andauernden Untersuchung gegen Alexander Zverev wegen des Vorwurfs häuslicher Gewalt eine ""unabhängige dritte Partei mit Expertise auf diesem Gebiet"" hinzugezogen. Dies bestätigte Andrea Gaudenzi, Chef der Spielerorganisation, in einem Spox-Interview. Zum Stand der Ermittlung könne er keinen Kommentar abgeben, sagte Gaudenzi: ""Aber ich kann sagen, dass wir mehr Informationen zur Verfügung stellen werden, wenn die Untersuchung abgeschlossen ist."""	episodic frame 
22882	" 'Anwältin Köksal hofft auf mehr Hilfe vom Staat: ""Vor allem müsste die Polizei als erster Ansprechpartner mehr Befugnisse bekommen, um früher eingreifen zu können. Aber es herrscht immer noch die Mentalität, dass Gewalt in der Familie eine häusliche Angelegenheit, also Privatsache ist."""	policy advocacy, positive quote
1554	 'Heißt das, die Forschung und die Hilfeeinrichtungen müssten enger kooperieren?	
21340	 'Denn tatsächlich braucht jede politische Maßnahme erst einige Weile, bis sie sich in den Statistiken niederschlägt. Die Menschen, die jetzt gerade in Deutschland am Coronavirus sterben oder auch nur positiv getestet werden, haben sich meist schon infiziert, bevor die ersten Einschränkungen des öffentlichen Lebens erlassen wurden. Doch Bilder wie die vom Münchner Isarufer, wo sich immer noch Menschen zum Feiern und Sonnenbaden zusammenfanden, setzen die Politik unter Druck. Auch der deutsche Föderalismus sorgt hier für eine besondere Dynamik: Wenn ein Land vorprescht, drängt das die anderen Länder dazu, nachzuziehen. Keine Landesregierung, kein Ministerpräsident will sich dem Vorwurf aussetzen, zu wenig zu tun.	non-DA
20649	 'Das Berner Verwaltungsgericht lehnte eine Beschwerde der Filippina gegen einen negativen Entscheid der Berner Kantonsbehörden ab, wie aus einem am Montag publizierten Urteil hervorgeht. Die heute 48-jährige Frau war im Mai 2014 von der Kesb des Bezirks Dielsdorf verdeckt in einer Mutter-Kind-Einrichtung im Kanton Bern untergebracht worden.	
14805	 'Eine Zunahme von 23 Prozent auf 525 Fälle registrierte die Polizei bei Taten wegen der sexuellen Orientierung von Opfern. Unklar ist laut Innensenatorin Spranger aber, ob es tatsächlich mehr Taten gibt oder ob die Betroffenen sich häufiger bei der Polizei melden. Die Zahl der Gewaltdelikte gegen Menschen wegen ihrer sexuellen Identität stieg um 20 Prozent auf 130 Fälle.	statistik 
19726	 'Katharina Logge-Böhm Kreisbeauftragte für die Arbeit mit Kindern und Familien beim evangelischen Kirchenkreis Prignitz	announcement
11143	 'Während die einen die Entschleunigung des Lockdowns preisen, war die zwangsverordnete Zeit auf beengtem Raum für andere der pure Horror. Laut einer ersten großen repräsentativen Umfrage zu häuslicher Gewalt während der Corona-Pandemie, einem Projekt der Technischen Universität München und des Rechtswissenschaftlichen Leibniz-Instituts für Wirtschaftsforschung, wurden 10,5 Prozent der Kinder in der häuslichen Quarantäne in Deutschland Opfer von körperlicher Gewalt. Jugendzentren wurden coronabedingt geschlossen, Erstanlaufstellen waren unterbesetzt. Für Opfer war es deutlich schwerer, Hilfsangebote wahrzunehmen. Alle folgenden Angebote sind kostenlos und können anonym wahrgenommen werden.	forschung
2141	 'Insgesamt sank die Zahl der registrierten Straftaten im Land 2020 um etwa 2 Prozent im Vergleich zum Vorjahr auf 497 158 Fälle. Schon 2018 und 2019 gab es historische Tiefstände. Pistorius betonte aber, angesichts der Corona-Pandemie seien die Zahlen nur schwer mit denen des Vorjahres vergleichbar, vor allem bei den Wohnungseinbrüchen habe es noch einmal einen deutlichen Rückgang gegeben.	statistik 
8952	 'Foto: Reuters / Joshua Roberts	reference to picture or link
21284	 'Umgesetzt würden diese Empfehlungen im 2. Autonomen Frauenhaus Berlins. Das sagt eine Mitarbeitern am Telefon, die aus Sicherheitsgründen ihren Namen ebenfalls nicht in der Zeitung lesen will. Doch was passiert, wenn sich eine Bewohnerin wirklich mit dem Coronavirus ansteckt? „Dann gibt es einen Pandemie-Plan“, sagt die Mitarbeiterin. Die betroffene Person würde isoliert ins Krankenhaus gebracht werden und das gesamte Frauenhaus stünde fortan unter Quarantäne.	DA support services
11897	 'Ökumenische Erziehungsberatungsstelle. Öffnungszeiten: Montag bis Donnerstag von 8 bis 16 Uhr und Freitag von 8 bis 12.30 Uhr. Telefonisch erreichbar unter 08041/ 79 31 61 30, E-Mail: eb-toelz@caritasmuenchen.de, Informationen unter , Bad Tölz, Caritaszentrum, Klosterweg 2.	general support services
17454	 'Claudia Meyer sagt, gerade in der jetzigen Pandemie könne gar nicht häufig genug auf Hilfeangebote hingewiesen werden. Und das in jeder Form: „Aktuell finden sich wieder unsere Plakate ‚Gegen Gewalt gibt es Lösungen‘ an vielen Bushaltestellen überall in der Stadt. Möglich machen dies erneut die Stadtwerke Norderstedt. Durch die grafische Darstellung auf den Plakaten ist die Information auch zugänglich für Menschen, die nicht lesen können oder die kein Deutsch sprechen“. abm	policy advocacy
3733	['Der Herbst hat noch einen Rest Sonne, als sich Shmsi A.s Befürchtungen bewahrheiten. 30. Oktober, Hochneukirch, ein ländlicher Ortsteil der Gemeinde Jüchen. Gegen 18 Uhr, es ist schon fast dunkel, soll ihr Mann Haydar A. mit einem Messer auf die Straße gegangen und auf Shmsi A. gewartet haben. Diese war gerade auf dem Weg von ihrer Anwältin zu ihrer Wohnung. Haydar A. und Shmsi A. sind verheiratet, sie waren vor drei Jahren zusammen aus Afghanistan nach Deutschland geflohen. Die 29-Jährige aber verließ ihren Mann vor rund zwölf Monaten - mit den zwei gemeinsamen Kindern, zehn und elf Jahre alt.	episodic frame 
4159	 'Das kantonale Gewaltschutzgesetz erlaubt es der Polizei, die gefährdende Person aus der Wohnung oder dem Haus zu weisen. Sie kann ihr verbieten, ein bestimmtes Gebiet zu betreten oder mit der betroffenen Person Kontakt aufzunehmen. Durchschnittlich bei jedem fünften Einsatz der Polizei wird eine oder mehrere dieser Massnahmen ergriffen. In der Regel handelt es sich um Kontakt- und Rayonverbote.	police/legal measures
13764	 'Derzeit können sich Betroffene an die städtischen Kliniken Links der Weser, Mitte und Bremen Nord wenden, dort werden die gesicherten Spuren mit einer Chiffre-Nummer versehen und nach zehn Jahren vernichtet. „Das klappt nach unserer Einschätzung gut“, sagt Schenk.	DA support services
21215	 'Wegweisungen gelten nur zwei Wochen	police/legal measures
14326	" 'Der Maßnahmekatalog umfasst acht Punkte. Neben der Aufstockung des Personals und der Schaffung barrierefreier Zugänge zu Beratungsbüros und Unterkünften für Frauen und Kinder gehört dazu auch die Forderung nach einer ""leistungsgerechten Vergütung"". Wie Ricarda Menzlin von der Interventionsstelle gegen häusliche Gewalt und Stalking in Wolgast sagte, wurden die Fördermittel zehn Jahre lang nicht aufgestockt. Das habe Lohnsteigerungen in der Vergangenheit weitgehend unmöglich gemacht. ""Inzwischen liegen die Gehälter der Beratungsmitarbeiter 30 bis 40 Prozent unter dem Einkommen bei vergleichbaren Stellen im öffentlichen Dienst"", sagte sie."	policy advocacy
6871	 'Das bedeute jedoch nicht, dass es aktuell zu keinen Gewalthandlungen innerhalb der Familien komme. Im Gegenteil. Kleinig: „Die Gewalt geschieht jetzt – sichtbar wird sie aber erst, wenn die Kontaktsperren aufgehoben sind.“ Das würden die Erfahrungen der Opferhelfer nach den Weihnachtstagen zeigen.	positive quote
22804	 'Im Tagesgeschäft haben wir Probleme, an Betroffene heranzukommen. Dabei haben wir bereits im Januar 2015 von der städtischen Sozialdeputation die Beratung bei Beziehungsgewalt übertragen bekommen. Aber die Polizei, die im Jahr zu etwa 2.000 Einsätzen bei häuslicher Gewalt gerufen wird, kann uns die Daten gar nicht ohne Weiteres geben. So erreichen wir auf diesem Wege aktuell lediglich 30 bis 50 dieser Personen. Das ist schlecht konstruiert und total frustrierend. Da wäre eine Änderung des Polizeigesetzes sinnvoll.	policy advocacy
11026	 'Was sind das für Fälle, mit denen Sie konfrontiert sind?	
11482	 'Trotz der Corona-Pandemie müssen Jugendliche der evangelischen Kirchengemeinde Süsel im Kreis Ostholstein nicht auf einen feierlichen Konfirmationsgottesdienst verzichten. Statt wie üblich in einer Gruppe werden die Konfirmanden in der Laurentiusgemeinde in Einzelgottesdiensten eingesegnet.	non-DA
1635	 'Trujillo sagt, die Gewalt gegen Frauen in Guatemala sei zwar sehr explizit, weil es kaum eine Frau gebe, die sie nicht betreffe, aber sie werde gesellschaftlich noch immer geleugnet. „Es gibt ein sehr hohes Level an Straffreiheit.“ Letzte Berechnungen einer unabhängigen UN-Kommission gegen Straffreiheit stammen aus dem Jahr 2015. In dem Bericht steht: In 97 Prozent der Fälle wird die Gewalt gegen Frauen in Guatemala nicht bestraft. Bei sexualisierter Gewalt sind es sogar 99 Prozent.	statistik, policy advocacy
7553	 'Mit der Caritas Fils-Neckar-Alb steht ein Träger für das künftige Frauenhaus in Nürtingen bereits parat. Sie ist seit langem mit einer Psychologischen Beratungsstelle für Familie und Jugend und mit weiteren Beratungsangeboten vor Ort tätig, es könnten Synergien genutzt werden, unterstreicht die Kreisverwaltung. Auch eine geeignete Immobilie sei bereits gefunden. Entstehen soll eine besondere Einrichtung für zwölf Bewohner auf rund 500 Quadratmetern Fläche: Im Gegensatz zu üblicherweise anonymisierten Frauenhäusern soll es sich um „ein offenes Haus handeln, für welches mit Unterstützung der Polizei ein spezielles Sicherheitskonzept sowie ein Leitsystem für Menschen mit Behinderungen entwickelt wird, das die Bedarfe von gehörlosen und blinden Frauen und ihren Kindern berücksichtigt“, erläuterte der Landrat erste Überlegungen. Noch feile man am Konzept.	DA support services, announcement
1474	" 'Angesichts des fortgesetzten Anstiegs der Frauenmorde in diesem Jahr hat sich die Regierung auf ein ""Gewaltschutzpaket"" in Höhe von 24,6 Millionen Euro geeinigt. Es bleibt abzuwarten, wie diese letztlich konkret eingesetzt werden und wann und wie die angekündigten Maßnahmen umgesetzt werden. Es ist jedenfalls höchst an der Zeit, der staatlichen Verantwortung nachzukommen und Worten auch Taten folgen zu lassen. Gewaltschutz darf niemals losgelöst von aktiver Frauenpolitik betrachtet werden; er ist ein Aspekt davon. Die gesellschaftliche Gleichstellung von Frauen und Männern, die Stärkung der Frau in sozialer und wirtschaftlicher Hinsicht durch entsprechende Maßnahmen in Bildung, Entlohnung und Familie leisten einen wesentlichen Beitrag zur Bekämpfung häuslicher Gewalt und dürfen daher nicht vernachlässigt werden."	policy measure 
